"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","conf_int"
"DE",-0.0048,0.00410592240211462,-1.15898388068994,0.246462755581579,-0.013,0.003,"Overall",0.008
"DE",0.002,0.0260254810731549,0.0784270969845348,0.937488319632907,-0.049,0.053,"Other fields",0.051
"DE",-0.0036,0.00393211183257982,-0.910801221374882,0.362400118841259,-0.011,0.004,"Mechanical engineering",0.008
"DE",-0.0077,0.00553114004888865,-1.3961287077294,0.162675740335696,-0.019,0.003,"Instruments",0.011
"DE",-0.0065,0.011462362937666,-0.568936698832676,0.569399099104809,-0.029,0.016,"Electrical engineering",0.022
"DE",0.0046,0.00545029215791071,0.844457597240985,0.398413748547677,-0.006,0.015,"Chemistry",0.011
"CN",-0.0059,0.00450646210309533,-1.29942692661323,0.193797455901097,-0.015,0.003,"Overall",0.009
"CN",-0.0358,0.0110026526954481,-3.25791089668345,0.00112235641293889,-0.057,-0.014,"Other fields",0.022
"CN",-0.015,0.00705499792199983,-2.12090619461944,0.0339296972680408,-0.029,-0.001,"Mechanical engineering",0.014
"CN",-0.0162,0.0119224613682263,-1.36186941700523,0.173239099387451,-0.04,0.007,"Instruments",0.023
"CN",-0.0109,0.00726713059243852,-1.5058229891931,0.132112620118169,-0.025,0.003,"Electrical engineering",0.014
"CN",-0.003,0.0102595546566674,-0.294666945496886,0.768248316234649,-0.023,0.017,"Chemistry",0.02
"CH",0.0017,0.00456285212064792,0.375728212187258,0.707118961820234,-0.007,0.011,"Overall",0.009
"CH",0.0091,0.0143047899825308,0.639200259367544,0.522692663413498,-0.019,0.037,"Other fields",0.028
"CH",0.0254,0.00796342052160434,3.19402978403505,0.00140301641419139,0.01,0.041,"Mechanical engineering",0.016
"CH",2e-04,0.0184377622072997,0.00890372559982598,0.99289594867425,-0.036,0.036,"Instruments",0.036
"CH",0.0047,0.0076013440536116,0.614480730392171,0.53889770278182,-0.01,0.02,"Electrical engineering",0.015
"CH",-0.0076,0.00921483364321307,-0.82861285338679,0.407323512446137,-0.026,0.01,"Chemistry",0.018
"CA",0.0099,0.00670240444656862,1.48077328701911,0.138666997155517,-0.003,0.023,"Overall",0.013
"CA",0.0391,0.0473540490994132,0.825239364918216,0.409235708724225,-0.054,0.132,"Other fields",0.093
"CA",0.0063,0.0223564284496015,0.282664994661611,0.777433652521293,-0.037,0.05,"Mechanical engineering",0.044
"CA",-0.008,0.0157170345479309,-0.509756050831592,0.610222379250356,-0.039,0.023,"Instruments",0.031
"CA",0.009,0.00924891369648789,0.973678793883079,0.330216049777681,-0.009,0.027,"Electrical engineering",0.018
"CA",0.0013,0.014548080368049,0.0910100666018585,0.927484592262691,-0.027,0.03,"Chemistry",0.029
"BE",-0.0027,0.00575370550122594,-0.462257240909548,0.64389685904422,-0.014,0.009,"Overall",0.011
"AT",-0.0045,0.00449453915219977,-1.00372640068031,0.315510508130709,-0.013,0.004,"Overall",0.009
